DesignInFile,mainFeature,targetLibrary,techFeature,techSubFeature,process,VTfeature,techModel,thresModel,voltage,temperature,period,mapped.area-Number of ports,mapped.area-Number of cells,mapped.area-Number of combinational cells,mapped.area-Number of sequential cells,mapped.area-Number of macros/black boxes,mapped.area-Number of buf/inv,mapped.area-Number of references,mapped.area-Combinational area,mapped.area-Buf/Inv area,mapped.area-Noncombinational area,mapped.area-Macro/Black Box area,mapped.area-Net Interconnect area,mapped.area-Total cell area,mapped.area-Total area,mapped.power-Cell Internal Power,mapped.power-Net Switching Power,mapped.power-Total Dynamic Power,mapped.power-Total,mapped.power-Cell Leakage Power,mapped.power-io_pad,mapped.power-memory,mapped.power-black_box,mapped.power-clock_network,mapped.power-register,mapped.power-sequential,mapped.power-combinational,mapped.timing-data arrival time,mapped.timing-data required time,mapped.timing-slack
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_161310,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1055,13188,10532,2645,0,1359,41,4924.401981,274.889993,4147.359892,0.000000,,9071.761873,,13.9882,557.9546,14.5461,14.5532,7.1770,0.0000,0.0000,0.0000,0.0000,13.5997,0.0000,0.9534,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_033945,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,856,9268,7247,2014,0,858,40,3489.387988,171.499996,3157.951917,0.000000,,6647.339906,,10.5808,446.3023,11.0271,11.0323,5.3191,0.0000,0.0000,0.0000,0.0000,10.2734,0.0000,0.7590,-0.78,0.79,0.01
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_123404,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,988,3344,2641,692,0,616,29,1217.355998,122.793997,1085.055972,0.000000,,2302.411969,,3.7084,324.1584,4.0325,4.0344,1.8852,0.0000,0.0000,0.0000,0.0000,3.5298,0.0000,0.5047,-0.78,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_034553,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1057,9543,7519,2014,0,721,42,3635.897984,144.549996,3157.951917,0.000000,,6793.849901,,10.5941,462.4167,11.0565,11.0618,5.3781,0.0000,0.0000,0.0000,0.0000,10.2744,0.0000,0.7874,-0.73,0.79,0.06
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_030920,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,858,11065,8510,2548,0,1016,39,4098.457983,204.035995,3995.263896,0.000000,,8093.721878,,13.2184,495.7509,13.7141,13.7206,6.5706,0.0000,0.0000,0.0000,0.0000,12.8764,0.0000,0.8442,-0.65,0.79,0.14
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_154929,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1193,10869,8459,2396,0,949,39,4020.547979,191.099995,3756.927902,0.000000,,7777.475881,,12.4414,507.6159,12.9490,12.9553,6.2857,0.0000,0.0000,0.0000,0.0000,12.0957,0.0000,0.8596,-0.66,0.79,0.12
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_083120,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,856,6579,4955,1617,0,582,40,2424.911993,117.599997,2535.455934,0.000000,,4960.367927,,8.4467,426.2540,8.8729,8.8770,4.1097,0.0000,0.0000,0.0000,0.0000,8.1731,0.0000,0.7039,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_083838,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,925,8036,6148,1879,0,754,40,2885.021985,152.095996,2946.271923,0.000000,,5831.293908,,9.7109,431.6220,10.1425,10.1473,4.8163,0.0000,0.0000,0.0000,0.0000,9.4290,0.0000,0.7183,-0.64,0.79,0.15
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_194652,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,913,2804,2482,313,0,473,33,1043.111993,105.839998,490.783987,0.000000,,1533.895980,,1.7374,106.6183,1.8440,1.8453,1.2191,0.0000,0.0000,0.0000,0.0000,1.6139,0.0000,0.2313,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_214602,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,990,9340,7146,2185,0,754,37,3541.915985,151.801996,3426.079910,0.000000,,6967.995896,,11.4359,498.2292,11.9342,11.9397,5.6351,0.0000,0.0000,0.0000,0.0000,11.1024,0.0000,0.8373,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_083135,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,923,6652,5026,1617,0,587,41,2445.001993,118.481997,2535.455934,0.000000,,4980.457927,,8.4472,430.2928,8.8775,8.8816,4.1194,0.0000,0.0000,0.0000,0.0000,8.1732,0.0000,0.7084,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_103009,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1114,13632,11227,2392,0,1587,53,5105.015983,341.039993,3750.851902,0.000000,,8855.867885,,12.6788,348.7823,13.0275,13.0343,7.0050,0.0000,0.0000,0.0000,0.0000,12.3316,0.0000,0.7027,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190403_215538,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1126,10986,8527,2447,0,959,40,4081.013979,192.961995,3836.895900,0.000000,,7917.909879,,12.7149,510.7365,13.2256,13.2320,6.3923,0.0000,0.0000,0.0000,0.0000,12.3580,0.0000,0.8740,-0.66,0.79,0.13
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_050935,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1181,12994,10749,2231,0,1445,54,4893.041980,305.367993,3498.795909,0.000000,,8391.837889,,11.8194,322.4904,12.1419,12.1484,6.6456,0.0000,0.0000,0.0000,0.0000,11.5026,0.0000,0.6459,-0.79,0.79,0.00
Dedicated_PE_Hw_Dedicated_PE_Hw_190404_083354,UltraHighDensity,LogicLibrary,HPC,plus,30nm,SVT,ccs,ff,0p99,40,0.8ns,1057,6500,4871,1617,0,492,37,2451.469993,100.057998,2535.455934,0.000000,,4986.925927,,8.4323,426.2679,8.8586,8.8626,4.0613,0.0000,0.0000,0.0000,0.0000,8.1716,0.0000,0.6910,-0.79,0.79,0.00
